,answers_question_id,answers_date_added,answers_id,answers_author_id,score,comments,q_score,n_score,total_score
7773,000b30fb534b41f7b716fa9ebf9c3f35,2016-05-19 18:54:34 UTC+0000,987a377658c0439a8f1e74117531eb2a,9d3d0927a8684e179eaf640c9dfd66ac,0,5,1,0,6
2766,002b07f6281a407ca49ee8b3538e5e45,2014-11-07 23:33:24 UTC+0000,698be6047aa246788a610aebc9f1f2db,c12dff6c1c844bac95ce8a96e8a47c61,3,12,1,1,14
3269,00361e5dda874e65abaeeceb12c8e10c,2018-11-14 17:40:01 UTC+0000,f6c60d3eda104ece8a8aa74745f4fe54,38780fb1cb0b4d5594af5c402ef4e3b3,0,1,1,0,2
7747,0037ccbe4467439490e660f606addf2b,2018-02-07 03:52:59 UTC+0000,478125b32a4f41d49a3d9eb37c3beef0,ef8a09c1c2af45aab9f7cefc16f98cd5,3,1,1,1,3
1190,006b9cf69cd0405ea0a8821c5f6641bb,2016-12-01 18:57:49 UTC+0000,0eb97b322dc84bea922833ca09168ccc,96bbbdd06a334805a0501034d9df1aa4,2,1,1,1,3
6651,006e23b28b5b4ae2b6b66ce5ae28d231,2015-03-22 07:15:54 UTC+0000,b1a3d16fa83c4af490ff1a64b1fe951f,9a0f09620c6640718c1792a74f3b8438,1,2,1,1,4
3502,007e32d9843d496580d8dd326d1038ab,2018-07-27 02:31:29 UTC+0000,2dff1e8dcf9348aa8c87533aa74f0ce3,1448eaee44de457f921e34fcdf3fc3d7,1,1,1,1,3
3233,0082a81f55d8445ea31d67b35ca5fc0c,2018-02-09 00:00:47 UTC+0000,3425b006cc2b417a8b8bdb8d1c668727,e6b29607f1504bc9bdb81783016df845,1,2,1,1,4
3617,00886edc59f34c89b52e210bc562def3,2017-07-07 13:48:30 UTC+0000,5f28e43bfdbe4bc8ae9341fb69b976ee,aed64d429e1d4bc8b07ea9c1d1ac477f,0,1,1,0,2
1285,009ad5c6266b4b029047872610f6a33a,2016-05-31 02:41:46 UTC+0000,02d0c8d3b5184aec8aa9df5043d7bd2f,d954f43c12544dbc8cc5f2f30215ac0f,0,1,1,0,2
7201,00a6447554d6452fa74e240989fac724,2016-05-19 00:56:08 UTC+0000,d0cdba9ef9a34621989b2c66c625764b,faa0fe0510804c4abeffc171acf37ba2,2,1,1,1,3
3119,00af17f102364c39803fd9d1c6712d30,2018-01-24 19:46:08 UTC+0000,635ca4175c6a4d59bceeb1677f5ccb4a,4f3f080d728144d9b57a72f6533101fa,1,2,1,1,4
5218,00b6f892cf014382aba96e32e355e0c9,2017-10-10 22:37:47 UTC+0000,1de366e81e7249dfa9caf5f0185bebb1,8a83ebd257fb4881a2a65ae490e489ed,1,1,1,1,3
5819,00bbc2e889c54feaae9f9afe1215ef6f,2012-05-24 04:19:35 UTC+0000,165eec1a177b48fbaa5c5f38b062a6db,9c5803ae43ca4cf6b27ea85871625116,1,1,1,1,3
873,00c35c40a847415ab369704238ecc233,2016-03-02 17:52:29 UTC+0000,abeebe85c0d64a0b84d1fe4a038ceac0,13b55ed4834e4814bb33a4c87001063d,0,1,1,0,2
7415,00cac59c62344eb98bd2c2c88035a382,2014-11-28 21:28:46 UTC+0000,f5af3eb8b5eb4154974973d432df06df,3d8847ddc8d04185976a9e78b190ebdb,0,3,1,0,4
6585,00d405da29124997990ccfed5a0992ec,2012-01-20 23:51:00 UTC+0000,5a1ab3a7033845f2af0215e63767304b,1e4cc96c24344c8b806c26c3e6746167,3,1,1,1,3
1634,00dade341ee14b8d958e60c3dedeb24f,2016-04-06 20:54:15 UTC+0000,cd5ed5d6beb0482587f405f2bed46dc2,26caab3de1234f71993dff7c914c42c8,2,2,1,1,4
6475,00e934af910e4c92a530e169764ca3f6,2014-04-09 03:55:45 UTC+0000,98eec7bbb3b44031b97a29dc2f86e58d,4b7737cb8c46400795bdba3a4f333997,2,4,1,1,6
